ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,detailed-label
1538572954,Cu3Tieri43IPsyBO3,0,42789,0,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538572959,Cbetl72NeXczaqQ8Lj,0,60546,0,53,0,0,1,1,1,1,0,1,2,146,2,146,0,0
1538572983,CUmQWl2ZA2hrbNtohe,0,37320,0,53,0,0,2,2,2,0,0,0,2,134,0,0,0,0
1538572993,C9oEZWtG35wx1Mqq5,0,51338,0,53,0,0,3,1,1,1,0,1,2,146,2,146,0,0
1538572993,CbhqpU1oZZyrP7PE6i,0,60088,0,53,0,0,4,3,3,1,0,1,3,201,2,198,0,0
1538573008,CGnKaI1ugpq8xlKpwe,0,51470,0,53,0,0,5,1,1,1,0,1,2,146,2,146,0,0
1538572998,C0gyyCeYCgh7PLJlk,0,53043,0,53,0,0,6,2,2,0,0,0,2,134,0,0,0,0
1538573018,CmQJAHWaKPtp846r3,0,49307,0,53,0,0,7,1,1,1,0,1,2,146,2,146,0,0
1538573008,CySgXpyp1TF2dj73g,0,57913,0,53,0,0,8,2,2,0,0,0,2,134,0,0,0,0
1538572998,C8Bp5r4Ps9pq5ParI4,0,123,1,123,0,1,0,0,0,0,0,0,1,76,0,0,0,0
1538573050,CXykeR1KaPsSCWrnid,0,38953,0,53,0,0,9,2,2,0,0,0,2,134,0,0,0,0
1538573060,C6dfdy62LceJ2Ukkh,0,47797,0,53,0,0,10,1,1,1,0,1,2,146,2,146,0,0
1538573070,CIbhd33f5DIlyNu8Tj,0,55212,0,53,0,0,11,1,1,1,0,1,2,146,2,146,0,0
1538573060,Cpfro7SN96sZQBJZk,0,48424,0,53,0,0,12,2,2,0,0,0,2,134,0,0,0,0
1538573080,C2Vjta1KA4aYyKgAKk,0,35291,0,53,0,0,13,1,1,1,0,1,2,146,2,146,0,0
1538573070,ChMj184YFh4tk3BMma,0,55684,0,53,0,0,14,2,2,0,0,0,2,134,0,0,0,0
1538573051,CEIpGZc2eJsl5LOe6,0,123,2,123,0,1,0,0,0,0,0,0,1,76,0,0,0,0
1538573126,C2DMMB4ZAzyHGnW7b9,0,58955,0,53,0,0,15,1,1,1,0,1,2,146,2,146,0,0
1538573116,CHIfjoAWhXef7QYY1,0,54624,0,53,0,0,16,2,2,0,0,0,2,134,0,0,0,0
1538573128,CuzyB5upqpk2Ygr1f,0,38722,0,53,0,0,17,2,2,0,0,0,2,134,0,0,0,0
1538573133,CaFD7t4x11rNjJyXpe,0,41174,3,443,1,1,18,4,2,0,0,2,3,180,0,0,1,1
1538573133,CuZpfKc5Vd5fvhJJ7,0,55552,4,53,0,0,19,5,4,1,0,1,1,67,1,83,0,0
1538573141,C2gDegk8EvlOlAaJi,0,41174,3,443,1,1,0,0,0,0,0,2,1,60,0,0,1,1
1538573126,CIedhc3lt8B7BEl8Oe,0,46374,0,53,0,0,20,2,2,0,0,0,2,134,0,0,0,0
1538573136,CMZIt54K67qBcAtwe,0,34397,0,53,0,0,21,1,1,1,0,1,2,146,2,146,0,0
1538573149,CY9Vox2T9RVyTvV5Zc,0,41174,3,443,1,1,0,0,0,0,0,2,1,60,0,0,1,1
1538573146,CJKfFS2y18khvBjAf8,0,44943,0,53,0,0,22,1,1,1,0,1,2,146,2,146,0,0
1538573136,CwhZxG3WEiwviRxHRc,0,35613,0,53,0,0,23,2,2,0,0,0,2,134,0,0,0,0
1538573120,CocweeffnM4x4ju1f,0,123,5,123,0,1,0,0,0,0,0,0,1,76,0,0,0,0
1538573178,CT781125cyN34B4KZa,0,52495,4,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573183,C0kC3k3W0cc7jBilB4,0,40356,4,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573173,CZndum2TPUPQJUelGa,0,47646,0,53,0,0,24,2,2,0,0,0,2,134,0,0,0,0
1538573189,C4kCFw16ZeP5cy0Loi,0,54698,4,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573181,CKqnDb2yiFsahe4L1g,0,57992,0,53,0,0,25,2,2,0,0,0,2,134,0,0,0,0
1538573191,CE5AM14K3LpiPbeJf1,0,44543,0,53,0,0,26,1,1,1,0,1,2,146,2,146,0,0
1538573194,CSjGb4RyNs03Mk5Ec,0,52548,4,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573199,CUiDHg3ZO2QEGrQnc3,0,55036,4,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573201,CgCTCa1zR5PdqVQUth,0,44364,0,53,0,0,27,1,1,1,0,1,2,146,2,146,0,0
1538573191,CYkw212qGL2BjV6ppf,0,51098,0,53,0,0,12,2,2,0,0,0,2,134,0,0,0,0
1538573211,Cbbx2v4wEcr6HbQIo2,0,52579,0,53,0,0,28,1,1,1,0,1,2,146,2,146,0,0
1538573201,CXZFuF4J8e7ATIwTMl,0,47383,0,53,0,0,29,2,2,0,0,0,2,134,0,0,0,0
1538573214,CwXN7r1At3rMyOD03j,0,43991,0,53,0,0,30,2,4,1,0,1,2,134,1,83,0,0
1538573184,Cr5M8P3zFzm0KmOOT8,0,123,6,123,0,1,0,0,0,0,0,0,1,76,0,0,0,0
1538573255,Ce1Yl64pVeUtjkxqPi,0,52228,0,53,0,0,31,1,1,1,0,1,2,146,2,146,0,0
1538573245,CWYwsV2zBcx0B6fKa,0,48182,0,53,0,0,32,2,2,0,0,0,2,134,0,0,0,0
1538573265,CKO7ljslBYSndy4F9,0,45828,0,53,0,0,33,1,1,1,0,1,2,146,2,146,0,0
1538573255,CVLGry1VAk6g1cR0T1,0,49283,0,53,0,0,16,2,2,0,0,0,2,134,0,0,0,0
1538573275,CosMzr17mzUQxo4c5l,0,40206,0,53,0,0,1,1,1,1,0,1,2,146,2,146,0,0
1538573265,CGKLD41kc3BL5LsDS1,0,45339,0,53,0,0,34,2,2,0,0,0,2,134,0,0,0,0
1538573275,Ch6x1t3sIrR4U8fvR1,0,55077,0,53,0,0,35,2,2,0,0,0,2,134,0,0,0,0
1538573285,CQHVDA3qghmCQBg993,0,48026,0,53,0,0,36,1,1,1,0,1,2,146,2,146,0,0
1538573310,CxEnpS1oJfcpDGxy3l,0,48776,0,53,0,0,37,2,5,1,0,1,2,134,1,131,0,0
1538573315,Cy4xcJ3NT5oyf4MGO,0,50873,0,53,0,0,38,5,5,1,0,1,1,67,1,131,0,0
1538573315,C81YHz3fmVenBYHQ3k,0,37851,0,53,0,0,0,0,0,0,0,0,1,67,0,0,0,0
1538573330,CJOPVk1GKe2OQVB7h8,0,42664,0,53,0,0,39,6,6,1,0,1,1,73,1,73,0,0
1538573320,CatUH23VV3weBDAk35,0,57473,0,53,0,0,40,2,2,0,0,0,2,134,0,0,0,0
1538573330,CnPTjiHTbmMx1tRth,0,45176,0,53,0,0,41,6,6,1,0,1,1,73,1,73,0,0
